session_id,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10,user_id
70,55,174,424,2,466,2,2,2,6,3,31
71,2,3,6,2,944,2,2114,796,2114,424,31
72,424,192,2,466,2,6,2,3,6,2,31
73,3,4,10,10,4,3,6,3,4,4,31
74,21,10,6,27,4,10,4,4,9,3,31
75,30,6,10,21,27,33,30,115,9,9,31
76,4,115,24,4,33,6,4,9,4,115,31
77,6,24,9,192,424,424,192,2,6,3,31
78,3,6,2,2,2,6,2,3,63,54,31
79,2,6,3,54,63,86,54,63,142,54,31
80,142,63,2,2,2,88,2,583,134,3,31
81,3,134,200,124,55,3,55,4339,4541,200,31
82,124,55,3,128,193,3603,231,4633,231,662,31
83,217,217,55,55,583,134,3,134,3,124,31
84,200,55,3,55,334,5,193,347,55,55,31
85,5,674,468,293,204,3532,55,4567,369,4679,31
86,613,613,369,231,231,1116,777,350,777,350,31
87,563,563,192,2,6,3,2,2495,3,2495,31
88,2495,3,6,583,134,2,134,3,61,61,31
89,4351,553,41,61,19,38,13,19,13,38,31
90,134,31,14,3640,38,1,13,247,613,13,31
91,14,19,19,38,231,6,14,13,396,1,31
92,13,38,896,13,19,137,13,1,19,137,31
93,8,896,13,14,1,14,546,19,38,3,31
94,1,19,13,6,6,546,13,19,1,6,31
95,75,75,1,1,1,14,1,14,14,19,31
96,75,14,1,75,1,14,14,14,1,14,31
97,1,14,14,1,14,14,1,14,1,14,31
98,75,14,1,14,1,14,14,13,14,6,31
99,55,3,55,55,200,124,422,468,106,5,31
100,106,4266,246,173,55,4290,260,4240,563,260,31
101,563,174,174,43,2,6,3,86,63,142,31
102,2,54,54,86,54,54,54,6,3,2,31
103,2,2,2325,2,2,3,583,134,3,134,31
104,134,134,200,124,55,3,55,124,200,55,31
105,193,128,55,4441,231,4347,2298,231,563,1751,31
106,2,6,3,2,6,3,149,149,18,6,31
107,149,17,5,44,5,3,149,3,6,1193,31
108,149,149,3,149,149,149,149,10,149,10,31
109,149,149,149,149,149,149,149,149,149,149,31
110,149,149,10,149,149,149,149,149,149,149,31
111,149,149,149,149,149,13,38,19,149,149,31
112,149,149,149,149,149,149,149,149,149,149,31
113,149,149,149,149,149,149,149,149,149,149,31
114,149,149,149,149,149,149,149,149,149,149,31
115,149,149,149,149,149,149,149,149,149,149,31
116,149,149,149,149,149,149,149,149,149,149,31
117,149,149,149,149,149,247,149,149,149,149,31
118,149,149,149,149,149,149,149,149,149,149,31
119,149,149,149,149,149,2,6,3,239,6,31
120,88,239,2,3,38,13,19,3,6,88,31
121,239,38,19,13,239,430,362,362,430,74,31
122,1225,910,1354,4598,1354,1290,239,430,362,508,31
123,1354,748,1225,362,430,4264,74,1539,74,74,31
124,74,74,74,362,74,74,74,74,74,74,31
125,74,2753,362,910,508,910,74,74,74,362,31
126,1290,2753,508,74,74,758,581,895,1874,74,31
127,74,1290,74,74,74,430,362,1899,430,362,31
128,379,44,18,17,379,5,379,5,4356,379,31
129,1803,1803,362,74,1899,362,74,74,74,74,31
130,74,74,74,74,74,74,74,74,74,74,31
131,74,74,74,74,74,74,74,239,74,74,31
132,74,74,74,74,74,74,74,74,74,74,31
133,74,74,74,74,74,74,74,74,74,74,31
134,74,74,74,74,239,1749,31,6,6,22,31
135,5,453,1749,17,18,44,31,6,1749,130,31
136,653,5,22,1749,44,6,53,6,5,1749,31
137,20,20,10,20,20,10,2,6,3,2,31
138,2902,2902,6,3,239,2,53,239,239,44,31
139,1490,1414,227,2198,1490,22,1414,227,1414,1490,31
140,6,10,5,18,1414,1081,1490,17,5,1081,31
141,6,20,13,19,1490,1081,1490,239,239,88,31
142,3,239,1290,239,13,239,244,750,1374,750,31
143,44,17,18,798,6,6,750,1379,6,334,31
144,347,674,5,3102,5,538,173,425,626,1190,31
145,173,293,10,626,173,10,3462,173,750,20,31
146,20,174,20,88,3,13,239,239,909,725,31
147,3713,418,418,789,1787,418,17,18,204,22,31
148,418,2222,1787,5,1636,418,20,6,2,3,31
149,2,527,6,1296,527,6,17,2981,18,1296,31
150,527,1296,1296,527,1296,1972,171,2452,888,527,31
151,1047,454,171,1296,5,1296,171,193,527,527,31
152,527,527,396,527,527,527,396,527,210,17,31
153,527,5,210,18,527,527,527,527,527,527,31
154,527,527,527,527,527,527,527,2,2,1088,31
155,1088,31,3,1088,5,22,1088,210,3738,31,31
156,1088,210,6,954,210,210,394,954,210,210,31
157,20,20,10,10,1088,210,210,394,954,766,31
158,210,239,2,2,4144,5,328,18,17,2793,31
159,106,22,6,5,2,227,3494,4912,106,2793,31
160,2959,2594,2959,2594,5,6,5,4486,10,10,31
161,328,13,38,19,20,20,394,2,210,1088,31
162,5,1088,210,6,20,1088,2827,210,187,377,31
163,386,954,519,377,605,210,606,5,394,187,31
164,386,22,6,31,386,519,210,187,20,667,31
165,187,10,6,386,20,606,377,5,386,605,31
166,519,377,4025,6,667,377,377,606,5,187,31
167,377,422,605,187,20,4644,519,605,6,377,31
168,2256,187,5,377,377,519,187,667,386,377,31
169,6,18,20,17,20,5,2872,2872,453,210,31
170,187,5,377,20,377,605,519,17,6,766,31
171,954,18,210,394,2500,5,6,210,2500,394,31
172,210,20,605,5,20,519,17,6,667,18,31
173,5,20,2,187,239,394,187,2,3,239,31
174,3,239,1436,2844,2255,1300,4746,3902,1120,17,31
175,130,87,18,1436,1120,73,53,2255,130,5,31
176,6,10,31,87,73,1406,1120,22,20,3409,31
177,1120,2,87,63,54,142,2,86,54,86,31
178,63,54,54,54,3,88,13,239,239,53,31
179,239,2,3,2,1013,101,172,101,172,3179,31
180,2531,1013,73,4154,44,101,251,1013,146,908,31
181,31,2,174,174,101,146,101,1013,1013,172,31
182,1013,172,172,73,1013,172,2531,2531,73,3179,31
183,3,88,239,13,2,3,2,1715,4771,3,31
184,406,1715,922,1715,526,922,398,398,398,398,31
185,3916,2,1715,3966,4685,3,398,398,398,398,31
186,398,398,398,1715,398,398,2,6,3,2,31
187,318,101,6,3,73,84,101,318,3883,1814,31
188,146,1814,759,628,318,2812,318,73,1814,318,31
189,1084,318,84,31,2812,146,101,318,22,5,31
190,84,318,17,18,6,53,6,126,22,10,31
191,20,318,10,4802,318,318,1406,73,1814,2060,31
192,20,318,1084,22,2060,5,126,53,18,17,31
193,6,239,318,20,318,73,1403,73,1403,1084,31
194,1403,22,18,5,6,17,53,126,5,318,31
195,20,2333,318,73,1084,318,22,53,17,18,31
196,6,126,5,20,318,1756,73,1756,318,22,31
197,17,6,5,18,318,2036,318,2036,73,318,31
198,20,1084,2036,22,6,5,53,18,17,22,31
199,318,73,318,20,2823,1084,379,2823,17,6,31
200,5,18,53,318,2438,2438,73,318,20,2438,31
201,5,18,17,53,5,6,2607,3886,4774,2607,31
202,31,4437,4093,4777,84,4471,3347,20,2,630,31
203,2,737,1074,422,18,17,5,211,479,630,31
204,479,737,17,479,18,630,737,1074,422,1564,31
205,737,630,737,737,630,737,630,17,737,18,31
206,422,1074,1675,87,630,630,87,17,1074,18,31
207,737,406,737,737,630,406,737,17,1074,18,31
208,630,630,1074,18,737,406,17,406,630,630,31
209,2,18,737,2,17,1074,630,630,630,1074,31
210,17,737,18,630,318,1701,318,2461,1084,73,31
211,318,1701,787,172,1701,379,17,6,5,18,31
212,53,126,20,318,318,2023,73,2023,2023,18,31
213,53,6,126,17,5,3,88,239,13,20,31
214,630,630,1074,18,17,737,630,318,3265,318,31
215,73,87,3265,126,5,53,18,6,17,20,31
216,87,318,2060,318,73,2060,126,53,5,44,31
217,18,6,17,318,1455,318,1455,73,87,1455,31
218,5,53,18,6,17,318,87,20,2260,318,31
219,379,73,2461,787,2260,318,2260,379,126,53,31
220,6,17,5,18,318,73,20,318,3171,2670,31
221,379,2670,3171,6,17,5,53,126,18,20,31
222,5,318,318,2412,2412,1406,73,318,1656,318,31
223,2412,6,17,18,53,126,5,318,20,318,31
224,3996,318,73,1406,18,5,6,17,318,4200,31
225,20,239,61,61,1334,701,2639,61,553,41,31
226,61,230,230,230,357,357,510,192,230,230,31
227,230,102,230,230,40,230,230,230,230,230,31
228,102,230,40,1303,230,180,40,40,61,43,31
229,81,43,43,583,134,3,134,3,31,4539,31
230,55,3,55,200,124,106,3589,246,516,55,31
231,55,293,334,55,674,422,204,293,2452,55,31
232,4091,3329,764,558,558,764,231,393,554,174,31
233,174,43,192,93,93,93,583,134,93,31,31
234,134,3,134,3,134,200,124,658,134,396,31
235,4431,55,3,55,55,55,200,124,106,43,31
236,93,93,134,200,124,396,658,658,3495,1248,31
237,1248,55,55,55,422,617,347,128,204,174,31
238,613,4414,3397,174,1867,613,55,200,55,1867,31
239,124,193,5,1375,4355,4824,1375,1370,231,1370,31
240,231,369,1022,369,1515,1515,1539,217,3116,3116,31
241,55,55,200,124,422,55,468,55,293,479,31
242,1764,479,5,674,334,4656,4222,55,124,200,31
243,55,55,422,55,3395,260,4271,764,260,350,31
244,212,906,55,55,55,55,3428,622,4287,231,31
245,622,231,613,613,55,200,55,124,3826,3363,31
246,617,764,617,603,2050,603,55,55,55,55,31
247,55,55,200,124,55,3453,4693,764,1370,1370,31
248,231,603,231,603,693,693,55,200,55,124,31
249,4886,4145,55,55,200,124,4449,3432,134,55,31
250,124,200,658,396,124,200,134,658,396,3600,31
251,601,601,55,55,134,55,134,658,396,3487,31
252,260,260,4259,3,134,583,31,3,134,658,31
253,658,134,396,134,4165,2213,617,2213,617,55,31
254,3,55,55,55,106,833,1284,1016,293,106,31
255,674,908,293,246,4882,3571,393,554,393,2088,31
256,393,1206,2359,1022,1022,906,906,603,603,43,31
257,93,2,3,6,2,59,31,59,136,59,31
258,59,6,2,3,2,2,2,401,278,2,31
259,4881,3026,401,278,227,227,600,401,991,22,31
260,1245,677,44,955,22,6,677,991,18,17,31
261,1245,717,677,991,689,677,717,20,10,5,31
262,6,20,401,10,2,2,844,844,482,482,31
263,482,482,201,1188,2,2,2,2,63,54,31
264,142,86,54,63,54,55,134,134,55,55,31
265,55,55,422,55,193,347,5,4846,4362,2,31
266,63,54,54,86,54,63,334,2,2,2,31
267,59,59,59,2,2,1266,439,31,1881,439,31
268,1605,1605,894,128,211,4047,204,1605,211,3063,31
269,1605,5,2564,2564,1605,211,204,2564,894,211,31
270,3063,128,5,216,439,2,1266,439,2653,3,31
271,3,5,2,2,59,2,59,59,2,59,31
272,59,2,59,59,2,2,2619,2,55,134,31
273,134,55,55,55,422,479,204,174,174,55,31
274,134,124,200,134,658,396,4133,55,55,422,31
275,128,55,134,200,124,479,658,396,3322,93,31
276,10,4,215,3,4,10,4,6,3,3,31
277,4,3,21,27,6,10,27,4,21,6,31
278,30,3,9,9,30,6,6,4,4,33,31
279,4,4,9,6,24,4,9,9,6,33,31
280,6,24,2,2,6,9,2,2,2,63,31
281,54,54,2,86,86,63,9,9,4,4,31
282,9,4,4,9,4,4,9,4,4,4,31
283,9,4,9,4,4,9,4,134,134,4,31
284,55,55,200,124,4453,251,4585,3993,4,9,31
285,4,60,60,267,583,134,3,134,134,3,31
286,31,200,124,134,134,3518,662,350,350,396,31
287,55,55,3,55,55,55,674,4113,55,55,31
288,200,124,106,1016,833,4715,4114,693,1541,217,31
289,350,217,106,43,55,200,124,193,293,908,31
290,3413,906,260,4726,260,3096,563,3096,563,617,31
291,2183,2183,55,134,134,134,134,396,4738,231,31
292,231,212,212,396,55,55,4903,3345,558,558,31
293,601,601,55,55,334,55,4890,4331,1143,1143,31
294,554,393,212,393,212,55,5,4291,3411,1751,31
295,1751,260,1248,200,55,124,4906,857,857,2178,31
296,3990,369,369,603,55,55,124,200,55,55,31
297,4713,4472,55,55,124,200,5,128,3939,3339,31
298,2442,885,859,540,859,134,55,4565,134,4795,31
299,906,822,396,396,55,4060,55,4580,55,3373,31
300,4293,369,369,231,212,212,260,217,884,231,31
301,217,558,558,192,2,6,3,4,3,4,31
302,4,10,2,6,21,2,2,27,3,10,31
303,21,4,30,6,9,3,27,6,9,4,31
304,33,6,4,9,33,10,4,31,583,200,31
305,3,134,124,6,6,9,4,55,3,55,31
306,3,55,106,173,833,1016,55,4336,662,662,31
307,173,55,55,3,55,2686,204,55,3901,3801,31
308,231,43,217,231,217,1644,174,55,55,174,31
309,55,4,9,6,6,4,4,9,4,30,31
310,4,4,30,123,123,77,30,30,30,123,31
311,77,4,4,4,4,4,4,4,43,2,31
312,6,3,2184,2,2,2397,3,6,2,3,31
313,134,583,134,3,31,134,134,4253,396,3,31
314,55,124,197,55,200,106,246,193,4799,884,31
315,55,3,55,293,334,2686,4008,4132,231,601,31
316,217,231,55,1143,1143,2,2,63,142,86,31
317,2,54,2,86,142,54,791,2,2,134,31
318,3,134,3657,396,124,55,197,55,4092,3912,31
319,617,617,217,2455,2455,350,350,1035,55,3475,31
320,4686,417,563,857,563,231,857,231,55,55,31
321,2,54,63,2,63,86,2,55,2,86,31
322,54,63,2,63,86,43,2,3,6,4,31
323,2,10,2,6,2,21,27,2,3,9,31
324,10,3,21,4,6,30,27,9,30,9,31
325,4,33,10,33,4,9,6,134,583,3,31
326,134,614,31,3,200,197,4,124,124,3,31
327,55,55,200,124,197,106,192,193,833,1016,31
328,349,2215,106,3509,1206,1717,55,3695,1228,231,31
329,212,43,2,9,2,2,2,36,3,158,31
330,36,92,3,36,3,128,5,173,105,10,31
331,10,105,9,2,9,9,9,9,4,3,31
332,30,4,33,2,3,30,33,4,9,9,31
333,6,4,6,4,9,9,4,4,4,4,31
334,9,4,4,4,4,9,4,4,9,134,31
335,200,197,124,55,197,124,200,55,347,5,31
336,3536,4207,417,369,417,369,601,601,603,603,31
337,4,55,55,55,124,197,200,55,3947,764,31
338,9,831,831,603,603,4,4,4,4,9,31
339,55,197,55,124,200,293,1475,55,5,55,31
340,212,4843,4335,260,260,212,55,251,204,3995,31
341,908,247,3627,613,777,777,212,212,55,613,31
342,822,174,822,960,960,4,55,334,3375,124,31
343,197,200,55,3405,4327,4754,764,260,554,393,31
344,369,200,55,124,197,55,3836,55,193,55,31
345,55,4544,55,4719,3724,4,1644,1644,231,857,31
346,857,174,369,369,134,55,212,55,5,2288,31
347,2900,2064,4638,212,212,1270,4911,55,55,200,31
348,197,124,4230,3974,1022,55,200,124,197,3611,31
349,884,960,4766,960,2442,1270,884,260,777,777,31
350,260,960,960,4,55,4624,3326,4,4,80,31
351,52,67,15,72,15,1031,1031,114,2665,114,31
352,566,39,114,114,114,114,39,37,23,535,31
353,85,52,37,23,37,23,23,23,37,23,31
354,37,23,37,23,15,72,2,141,112,15,31
355,6,3,2,167,183,312,164,81,160,167,31
356,183,164,167,160,2,6,3,4,10,2,31
357,6,21,2,2,2,27,3,27,6,4,31
358,10,21,9,4,3,30,9,4,33,4,31
359,10,33,9,4,6,43,60,60,60,60,31
360,69,69,162,80,67,67,574,112,2,141,31
361,15,72,15,2,466,15,39,39,2,2,31
362,37,23,23,6,3,2,85,52,3,67,31
363,67,2,295,541,295,295,476,1733,541,295,31
364,3,2,3,3,2,63,54,2,63,54,31
365,86,142,86,1815,2,1815,1815,1815,2,5,31
366,388,118,90,108,5,90,108,18,108,118,31
367,22,73,44,101,5,17,15,90,118,297,31
368,406,5,107,20,54,63,63,86,2,53,31
369,2280,681,53,22,17,5,130,22,44,53,31
370,18,6,80,3,130,15,3,31,6,10,31
371,53,204,53,53,53,53,53,22,2,1521,31
372,1521,2,23,37,23,255,23,37,23,2,31
373,15,72,15,15,15,15,2,21,27,10,31
374,3,30,6,9,33,9,9,23,37,9,31
375,9,9,23,37,23,9,15,72,4,6,31
376,9,9,37,23,9,6,9,9,37,23,31
377,6,9,4,60,60,60,60,39,67,80,31
378,583,134,3,134,614,3,31,614,124,197,31
379,200,591,52,31,738,5,134,4853,304,55,31
380,3,55,396,200,197,55,334,55,738,193,31
381,293,124,67,5,4530,3319,212,212,217,554,31
382,393,55,55,833,516,106,136,3048,55,112,31
383,204,1016,261,247,251,128,4503,55,55,3389,31
384,3744,1116,1116,55,55,55,87,197,124,200,31
385,349,55,4856,3716,622,3150,3150,217,217,3076,31
386,217,3076,87,55,128,347,738,3420,3642,831,31
387,831,369,369,369,777,613,231,231,37,23,31
388,23,23,85,52,37,23,23,15,2,72,31
389,15,573,6,9,3,2,39,37,23,23,31
390,23,37,23,23,37,23,37,23,72,15,31
391,15,15,15,15,3,30,10,33,6,51,31
392,9,24,6,9,6,9,37,23,9,9,31
393,9,4,416,4,10,21,4,27,10,21,31
394,27,4,30,4,3,4,30,51,4,3,31
395,4,51,9,6,4,51,9,4,6,33,31
396,4,4,24,10,9,9,33,43,24,4,31
397,6,51,51,24,1076,1076,56,1076,178,56,31
398,307,32,32,32,32,32,12,4,12,585,31
399,68,68,853,12,68,110,110,9,6,4359,31
400,68,585,12,12,853,266,458,458,419,419,31
401,6,4,9,24,51,4,9,1051,24,24,31
402,4,9,51,24,9,9,24,81,164,164,31
403,183,167,160,183,312,167,164,183,41,164,31
404,167,5,5,160,183,164,9,2,2,3,31
405,9,9,9,3,38,2,2,13,38,78,31
406,38,38,78,19,6,78,38,38,192,19,31
407,6,19,6,9,3,19,13,13,78,19,31
408,78,78,19,19,19,19,19,19,24,24,31
409,4,38,15,3,13,38,6,15,19,19,31
410,38,38,19,173,173,173,173,9,6,9,31
411,9,9,9,4,9,9,2,9,4,2,31
412,9,2,1381,54,1381,54,54,54,142,86,31
413,86,54,1381,54,1381,9,9,4,9,9,31
414,4,9,6,24,4,9,5,183,160,5,31
415,41,2,3,6,9,9,4,6,9,2,31
416,3,4,2,30,4,10,30,4,33,4,31
417,9,10,9,33,4,6,6,4,60,60,31
418,51,24,4,60,60,4,51,4,9,51,31
419,4,39,6,51,24,24,33,24,9,4,31
420,60,60,60,60,39,80,67,112,141,15,31
421,72,15,37,23,23,15,15,2,937,107,31
422,41,185,52,41,304,41,82,41,185,85,31
423,82,583,31,3,614,134,197,134,3,200,31
424,124,614,134,52,71,3573,304,396,55,3,31
425,55,55,55,197,124,106,261,112,516,173,31
426,55,4018,3802,1206,369,1717,256,369,165,256,31
427,45,3584,256,99,369,45,45,45,159,256,31
428,1022,147,186,95,1022,97,603,3,9,6,31
429,2,603,112,723,85,15,15,52,3,30,31
430,10,33,6,9,9,37,23,23,9,9,31
431,9,37,23,23,9,55,304,134,55,55,31
432,141,112,55,124,197,4488,3975,217,260,393,31
433,554,350,6,15,72,2,22,513,567,4723,31
434,513,22,567,6,513,2674,731,107,17,5,31
435,18,5,567,136,2674,20,44,4,9,6,31
436,10,2,1170,6,15,1170,5,1170,5,3761,31
437,1170,2886,3221,3221,293,1170,3817,455,173,2562,31
438,173,2562,173,1170,1170,1170,31,3219,4074,2638,31
439,2,1948,1705,623,3828,2638,2407,1705,3219,3721,31
440,1948,3782,1948,3,5,1705,1948,15,1705,2407,31
441,2827,187,519,187,386,377,606,773,386,187,31
442,606,5,22,386,773,2514,187,519,867,605,31
443,31,667,386,773,5,377,987,173,184,187,31
444,386,187,606,44,377,5,2407,605,187,2514,31
445,187,667,17,18,519,667,377,867,187,22,31
446,5,173,4543,173,987,246,773,2,31,540,31
447,540,540,20,1035,187,1035,184,22,187,184,31
448,10,6,187,184,187,184,184,187,184,1705,31
449,20,9,55,124,197,55,4653,393,350,3950,31
450,554,1116,260,831,260,613,55,106,124,197,31
451,1784,106,4790,4110,217,217,1803,723,112,55,31
452,55,197,124,55,55,124,197,3711,369,4345,31
453,55,124,197,55,55,55,124,55,197,980,31
454,55,4602,4908,350,1228,617,558,1228,2,23,31
455,37,23,23,2,31,203,1362,1398,1362,1258,31
456,1258,1398,1362,1258,1398,531,1258,203,1362,1258,31
457,203,55,9,2,55,55,197,124,3651,3449,31
458,231,554,393,231,960,613,558,613,15,10,31
459,4,21,9,55,197,124,55,3697,3313,662,31
460,662,4,60,60,60,80,60,15,72,15,31
461,15,15,357,39,21,27,30,3,10,33,31
462,23,37,51,6,39,24,255,9,141,112,31
463,9,9,6,9,23,37,9,9,4,9,31
464,37,23,23,9,4,60,60,80,67,60,31
465,60,141,15,72,112,15,37,23,23,23,31
466,15,15,15,15,39,15,39,2,3,30,31
467,10,33,9,6,85,52,31,1362,203,1398,31
468,1258,1398,531,203,1258,1398,1362,15,3,203,31
469,1362,10,9,9,9,51,24,6,9,9,31
470,3,9,3,88,9,2,9,17,396,9,31
471,396,5,6,40,4,9,9,2,9,9,31
472,9,9,9,9,9,6,9,4,11,11,31
473,2,7,10,21,30,33,638,3,15,9,31
474,39,77,38,152,19,13,1,78,6,9,31
475,9,9,17,5,5,5,17,5,5,5,31
476,9,10,17,17,5,17,5,17,2900,17,31
477,5,17,5,6,9,2,3,10,9,9,31
478,4,9,9,9,9,9,9,9,9,9,31
479,9,9,9,9,4,9,9,9,9,9,31
480,9,9,9,2,9,4,9,39,39,88,31
481,213,9,6,3,2,39,9,9,3,30,31
482,9,10,33,6,24,6,9,9,9,9,31
483,9,6,9,4,9,9,9,9,9,9,31
484,6,4,9,5,17,22,53,3,213,2,31
485,6,9,2,6,10,208,500,77,3,9,31
486,9,9,60,60,60,60,39,39,80,67,31
487,15,72,15,15,15,3,30,10,9,33,31
488,23,37,51,6,24,85,52,9,9,9,31
489,23,37,23,9,9,9,37,23,4,9,31
490,9,9,9,23,37,23,9,9,9,4,31
491,37,23,9,4,134,583,134,3,614,31,31
492,3,134,200,197,124,134,192,614,614,134,31
493,134,396,4028,260,260,217,217,859,859,55,31
494,3,55,55,55,106,200,124,197,106,173,31
495,833,2171,1016,626,1190,626,3498,173,174,369,31
496,369,4807,212,885,885,369,369,55,124,197,31
497,55,200,106,4373,128,173,349,174,173,4390,31
498,2183,231,231,231,4375,1035,1035,882,831,831,31
499,55,55,197,124,200,55,55,3793,212,1051,31
500,43,2,2,6,3,43,6,3,2,2104,31
501,2104,2104,396,60,60,60,60,80,67,67,31
502,15,72,574,583,134,31,3,614,200,134,31
503,3,124,197,614,52,334,193,52,3641,1871,31
504,212,723,112,304,267,15,396,141,112,15,31
505,3,55,67,55,55,55,197,124,55,15,31
506,349,261,5,3998,3731,613,260,174,1488,23,31
507,37,23,535,39,85,52,37,23,23,39,31
508,23,37,37,23,23,583,134,3,614,124,31
509,197,200,31,614,192,134,204,5,210,134,31
510,3415,350,396,3,55,106,124,197,55,240,31
511,106,246,4482,55,197,124,5,1488,124,55,31
512,197,3362,4315,55,43,197,134,124,5,4151,31
513,1927,396,55,124,197,55,3770,3568,2,417,31
514,6,859,212,417,859,212,3,55,197,124,31
515,55,239,2,6,4789,3,3891,13,38,88,31
516,217,231,260,217,231,239,3,6,13,38,31
517,88,2196,1355,1955,2565,770,770,1799,581,758,31
518,2490,1799,758,244,770,2571,1949,31,453,1147,31
519,581,895,2322,1147,55,995,1344,197,124,1147,31
520,55,55,124,55,197,4146,3500,622,622,350,31
521,350,554,393,393,770,55,124,197,55,347,31
522,193,124,55,197,4396,3652,212,212,764,55,31
523,1949,3289,55,3289,770,770,770,80,67,141,31
524,15,112,72,37,23,23,31,583,134,3,31
525,614,200,3,134,197,124,614,134,193,347,31
526,52,5,210,134,52,3337,617,558,212,212,31
527,2,15,15,15,396,67,304,134,124,5,31
528,197,193,134,134,5,4610,558,558,693,693,31
529,231,723,112,217,396,3,55,55,55,55,31
530,55,55,124,197,55,5,3687,3732,247,231,31
531,231,622,601,393,554,393,540,540,55,55,31
532,124,197,246,193,173,106,261,112,173,4007,31
533,3654,1248,1248,1035,693,693,3220,369,3220,554,31
534,393,1488,55,1367,1367,2998,2991,22,1367,1367,31
535,22,1367,130,44,186,2991,130,1367,18,2,31
536,53,17,107,15,53,221,1367,2998,107,4383,31
537,5,239,88,13,3,38,9,20,85,6,31
538,10,52,239,9,54,63,2,142,54,63,31
539,86,63,54,86,63,3,9,2,37,23,31
540,2,2672,1933,2,1933,1933,1933,3,9,2,31
541,106,314,3543,374,314,1511,314,2127,374,98,31
542,1140,811,2863,2008,80,374,52,80,374,314,31
543,790,811,871,579,871,1140,2127,374,314,871,31
544,579,374,314,871,374,579,314,4851,1986,811,31
545,811,871,374,374,811,15,52,579,811,314,31
546,811,374,811,314,811,5,5,314,811,1189,31
